IHBAS-CPCB,Dwarka-S8-DPCC,Sri-Aurobindo-Marg-DPCC,DTU-CPCB,Okhla-Phase-2-DPCC,Alipur-DPCC,Sonia-Vihar-DPCC,Ashok-Vihar-DPCC,Mundka-DPCC,Pusa-DPCC,Vivek-Vihar-DPCC,Mandir-Marg-DPCC,Nehru-Nagar-DPCC,Wazirpur-DPCC,RK-Puram-DPCC,Punjabi-Bagh-DPCC,KSSR-DPCC,Jahangirpuri-DPCC,Narela-CPCB,Patparganj-DPCC,Rohini-DPCC,Anand-Vihar-DPCC,NSIT-Dwarka-CPCB,MDCNS-DPCC,Najafgarh-DPCC
47.69,31.85,26.43,38.67,19.150000000000002,22.88,42.77,21.85,40.33,24.731875000000002,20.77,8.3,34.53,42.05,8.4,21.73,18.57,33.15,25.10388888888889,44.23,52.38,28.32,22.95,17.95,16.57
51.11,31.2,26.73,39.95,19.978125,22.88,44.67,20.82,40.0,25.175624999999997,22.88,8.12,36.7,43.0,5.28,20.98,17.25,34.1,25.990555555555552,45.17,52.85,27.57,22.85,19.38,16.62
51.48,29.45,28.02,39.95,20.5325,23.05,43.62,21.18,37.73,29.0475,25.35,8.17,38.67,43.35,1.55,20.23,16.93,37.88,26.091666666666665,45.3,63.05,29.58,23.07,23.68,17.85
50.73,28.28,27.93,35.5,19.648125,23.17,41.55,23.05,34.92,31.611250000000002,26.85,8.1,39.22,42.88,1.32,23.5,17.38,38.45,25.64666666666667,45.88,59.4,28.92,22.79,25.57,16.77
50.57,27.27,26.85,30.12,19.039375,19.9,40.2,22.7,30.45,33.681875,25.65,7.1,39.62,40.75,0.7,25.6,17.75,39.5,25.198333333333334,45.08,62.52,22.95,17.71,25.23,15.25
63.05,23.58,26.23,25.88,26.85,19.8,42.08,22.35,26.98,33.875882352941176,27.38,6.9,39.15,40.35,1.9,23.6,24.3,42.65,26.015555555555558,44.38,60.35,17.9,12.96,24.05,14.88
60.28,26.43,26.8,23.6,28.75,22.85,47.5,21.93,32.02,39.05823529411765,26.9,6.97,38.12,40.25,0.22,22.68,29.33,35.3,24.23,45.1,59.88,19.95,12.92,20.98,14.92
60.09,26.35,25.45,28.83,30.43,23.42,43.05,21.85,30.85,42.50588235294118,26.23,7.28,38.05,39.9,0.15,21.5,25.62,35.15,27.07,47.73,63.4,21.92,12.96,22.95,14.78
61.1,25.85,25.67,29.07,30.5,21.12,39.38,21.88,29.95,43.98117647058823,25.23,8.15,36.7,29.1,0.53,20.53,21.62,35.33,27.77,47.3,69.35,20.4,12.94,24.25,13.93
61.28,26.23,24.73,22.85,24.07294117647059,21.23,36.2,21.85,30.73,49.36611111111111,23.77,8.03,36.1,27.48,60.5,21.18,20.0,33.7,24.1,45.45,62.6,22.75,13.21,24.95,14.28
60.06,30.4,24.72,21.65,24.97,20.93,35.7,21.7,29.52,48.940555555555555,22.05,7.68,34.55,26.4,31.08,22.48,17.6,34.17,29.18,45.67,60.55,19.23,12.86,24.5,13.68
59.87,33.31647058823529,25.35,22.0,22.643529411764707,19.2,36.0,21.45,27.2,32.8,20.62,7.18,32.52,26.52,29.18,26.07,14.95,34.3,24.52,47.58,55.33,22.0,13.21,26.4,13.98
55.83,35.33,26.3,23.43,23.35,18.55,35.05,20.43,28.2,22.3,21.1,6.07,30.23,21.8,70.33,24.75,16.77,36.95,28.8,47.85,49.98,24.7,13.03,25.15,13.35
58.8,33.58,27.1,39.27,22.8,17.35,35.5,20.88,30.07,19.95,18.27,6.38,31.12,18.62,56.27,24.53,15.32,37.55,30.5,43.8,48.4,19.47,12.88,23.43,14.28
67.42,33.72,26.27,46.42,22.9,17.35,36.02,22.27,37.98,23.27,16.93,6.67,33.15,20.68,52.95,25.55,17.95,37.17,34.6,42.47,47.03,22.35,12.88,19.5,14.35
66.44,34.38,25.1,35.1,21.9,18.27,36.45,21.23,35.4,23.05,19.45,6.97,31.1,24.68,55.9,23.65,17.3,36.05,32.7,42.95,50.48,23.67,12.83,19.27,14.02
66.77,32.92,24.9,40.58,21.36833333333333,20.5,37.17,22.42,36.17,21.48,25.88,7.45,29.27,26.15,55.65,22.35,14.95,35.9,33.9,42.85,47.88,25.77,12.95,18.77,14.55
73.59,31.18,24.38,38.45,21.204444444444444,21.73,38.47,22.18,35.67,22.57,25.9,7.7,29.3,27.57,61.98,21.85,15.22,35.15,27.52,44.6,49.0,22.55,13.25,19.43,14.8
73.77,30.23,25.05,65.75,20.997058823529414,24.67,39.97,21.2,36.83,17.52,26.15,7.73,29.77,29.33,66.33,21.18,12.4,33.82,30.35,44.2,41.12,23.55,12.82,20.92,14.62
75.03,31.62,26.2,58.77,18.875882352941176,22.82,41.25,21.2,39.43,18.3,25.4,6.95,30.85,28.93,60.33,25.77,14.7,33.92,34.33,44.83,45.3,22.03,13.16,21.9,14.28
74.12,35.3,27.93,57.18,20.283529411764704,20.98,41.85,21.1,42.05,17.65,26.6,7.53,39.18,25.27,59.98,30.25,15.65,33.58,43.12,46.9,49.15,24.17,12.83,22.4,14.5
74.12,36.6,27.88,51.58,19.17058823529412,21.05,46.1,26.45,40.35,23.25,29.4,7.2,38.1,27.45,58.05,29.4,,34.2,49.0,48.4,50.4,24.25,13.32,28.4,17.0
72.44,35.25,27.77,57.42,16.700625000000002,18.7,39.9,22.95,43.35,19.65,24.08,6.97,32.47,24.27,53.23,28.35,22.1,31.95,37.0,43.05,40.1,24.48,12.88,22.12,16.35
73.22,32.53,26.8,47.8,17.68375,17.42,38.4,22.6,41.75,20.77,20.65,6.92,34.7,24.88,47.62,23.9,18.73,32.15,33.55,42.08,46.25,23.8,12.93,19.42,15.07
71.77,34.3,26.35,45.45,19.771875,17.77,41.3,18.83,37.6,22.5,20.33,7.0,36.5,25.75,41.73,19.95,17.02,35.08,34.67,41.33,63.23,26.33,13.01,18.2,14.38
72.39,33.12,25.57,42.35,20.95,24.957999999999995,42.83,22.35,35.4,20.93,24.53,7.08,40.12,27.65,47.38,23.45,16.18,35.85,38.02,42.0,64.17,28.85,13.08,17.07,14.95
73.6,35.92,26.35,49.05,21.57125,25.016000000000002,41.72,23.75,33.7,23.9,25.52,7.33,40.85,27.78,56.88,22.8,15.45,36.98,42.08,44.0,76.25,25.2,12.96,18.2,16.45
69.51,37.05,27.38,49.88,20.26125,23.304666666666666,39.62,24.02,32.67,20.12,25.93,7.38,45.73,26.62,52.48,21.98,17.7,34.55,43.88,46.0,73.65,22.55,13.03,24.23,17.08
65.66,36.88,26.58,32.2,19.42875,21.548,40.5,23.5,30.73,20.65,25.98,6.68,47.8,24.82,57.35,27.43,16.3,35.25,40.2,44.42,75.7,16.03,13.66,23.98,14.98
58.09,36.58,27.25,27.73,21.046470588235294,21.69625,43.1,22.98,27.98,39.75,27.27,6.5,47.4,23.85,27.13,26.33,18.57,35.52,42.8,44.83,80.47,17.73,17.03,25.32,14.65
53.17,37.1,27.48,23.8,36.8,22.046875,45.17,23.05,27.18,52.55,25.65,6.42,48.12,22.83,33.05,25.8,28.7,36.52,44.4,46.48,91.2,19.1,23.01,22.68,13.95
52.74,40.83,25.55,25.25,35.98,14.07,46.3,23.3,25.65,60.38,25.77,6.97,44.68,23.88,27.12,23.18,32.92,37.53,43.65,49.08,97.38,17.75,40.5,22.25,13.73
54.98,40.38,25.83,26.65,35.58,14.85,46.4,22.75,26.82,45.22,26.78,7.83,43.45,28.02,24.75,22.12,27.5,37.4,44.85,51.12,92.5,21.93,42.85,23.5,14.97
50.96,36.98,24.82,26.73,24.67529411764706,17.0,46.15,22.9,27.62,38.53,26.2,7.95,41.83,33.83,25.58,21.6,22.52,38.45,44.75,55.82,82.38,21.1,95.56,23.58,11.85
45.75,36.78,23.88,25.02,38.8,19.1,45.5,23.3,25.65,35.25,25.1,8.03,40.08,38.0,33.57,24.02,19.45,38.85,44.5,57.38,81.0,23.65,32.2,23.75,11.88
51.3,40.7,25.9,26.38,26.4,19.82,43.65,23.2,27.07,33.92,24.83,7.5,37.38,41.02,35.1,29.52,17.93,40.02,46.3,56.45,76.9,28.5,28.84,24.77,12.95
50.71,38.88,27.9,28.98,23.85,19.45,41.73,22.3,25.4,42.0,23.95,6.72,36.33,33.42,33.12,29.85,14.48,40.45,47.65,54.6,69.1,22.53,34.61,25.27,13.15
51.34,40.33,26.75,33.35,26.05,24.673125,41.07,22.23,29.9,50.65,25.38,6.85,34.5,27.72,31.25,29.45,16.5,42.92,48.42,51.75,60.77,24.85,32.54,24.3,13.25
51.88,35.9,25.25,46.82,23.98,26.042666666666666,39.77,23.03,28.35,47.45,25.97,6.85,35.85,28.18,25.43,29.38,23.75,44.8,49.8,47.62,60.7,24.38,28.53,20.1,13.3
51.56,35.17,23.88,44.1,24.12,26.0,40.23,23.18,29.65,41.65,25.12,7.53,34.67,27.57,22.58,26.1,14.0,43.02,48.78,46.98,60.53,25.38,26.62,18.7,13.33
52.65,35.7,24.23,34.3,22.88,25.646875,40.75,23.8,30.38,32.2,25.0,8.15,33.33,36.38,23.88,23.12,15.35,40.12,49.9,47.3,56.9,20.85,26.44,17.1,13.6
52.36,31.8,24.77,28.35,23.2,25.491875,41.12,23.4,29.23,30.12,26.45,7.78,31.68,52.7,23.7,21.65,15.55,38.45,52.02,46.73,55.77,21.4,29.02,18.82,13.8
50.7,30.15,25.25,32.58,22.92,24.390625,43.02,23.38,30.45,22.8,26.27,7.43,32.7,56.38,30.18,21.7,12.85,38.35,52.15,45.65,55.85,16.02,29.11,20.68,13.62
48.76,32.4,25.62,33.48,23.32,25.16875,43.73,23.6,35.3,21.85,32.27,6.97,33.45,51.58,28.98,26.1,11.9,39.35,52.17,43.73,55.5,10.1,17.74,19.15,13.75
47.44,34.47,27.25,35.65,26.3,24.918750000000003,46.1,23.9,38.92,20.35,36.0,7.47,39.55,38.15,29.42,31.88,12.77,37.75,61.48,48.82,53.4,17.3,19.04,23.2,13.95
48.52,34.5,30.3,33.5,24.5,25.528125,49.0,29.95,40.38,35.523529411764706,34.3,6.9,39.2,40.6,25.65,32.2,,36.0,58.75,54.6,49.3,23.35,20.91,30.45,16.25
49.1,33.12,28.35,33.85,19.25,26.369374999999998,42.0,27.65,42.6,30.11058823529412,28.2,6.57,33.48,32.5,20.23,29.9,19.02,33.2,43.72,49.03,45.83,23.35,21.23,22.85,15.68
45.13,33.45,25.43,36.25,22.08,25.97529411764706,41.6,25.62,41.4,27.220588235294116,25.38,6.55,33.62,31.0,24.6,26.8,18.75,35.2,39.35,45.38,53.2,23.83,11.84,19.02,14.55
44.46,32.3,24.88,28.98,21.25,25.87375,44.58,23.48,40.88,25.989375,25.48,7.25,36.5,34.83,23.93,23.25,16.4,38.2,38.3,46.95,51.95,24.95,6.04,17.73,14.3
44.11,33.2,24.73,32.4,24.05,26.507333333333335,45.02,23.1,37.62,26.639374999999998,28.82,7.47,37.85,34.0,22.45,21.95,15.75,37.85,40.5,47.38,55.45,27.08,3.31,17.35,14.5
45.43,33.95,25.95,35.08,28.05,26.34,43.75,25.25,39.85,30.404375,28.92,7.4,40.65,45.45,30.72,23.17,15.9,38.08,44.6,45.85,60.38,24.3,5.56,17.55,15.7
50.03,36.85,26.9,32.95,29.25,23.939333333333334,41.95,26.18,33.7,31.716875,27.52,7.28,41.85,43.15,30.97,25.38,18.45,37.7,45.0,46.32,64.58,18.88,6.21,21.98,16.48
48.89,36.5,25.9,31.92,30.2,23.781333333333336,42.83,24.55,34.7,33.198750000000004,27.12,6.68,44.23,33.15,28.92,29.02,16.02,39.88,44.23,47.88,68.15,11.88,12.68,25.03,15.3
49.84,37.08,25.58,28.77,32.75,23.250625,43.77,25.12,37.62,33.60529411764706,29.42,6.85,45.48,29.8,27.3,28.62,15.58,40.6,44.92,50.15,75.0,10.62,16.25,24.32,14.45
56.28235294117647,35.5,26.62,23.65,33.1,23.27125,46.8,26.02,41.8,37.80176470588236,30.68,6.95,48.4,26.88,28.57,26.88,18.58,40.17,45.38,52.33,83.92,24.0,19.49,21.97,13.88
51.26,36.95,25.3,24.73,32.8,22.49529411764706,49.62,26.07,46.1,40.321176470588235,28.7,7.5,46.9,27.02,27.33,25.2,29.45,39.1,45.95,51.58,87.07,23.18,23.89,19.65,14.03
49.39,36.42,24.8,23.97,32.35,21.3,50.75,26.0,45.62,41.91588235294118,27.15,7.9,43.62,31.23,29.0,23.85,30.23,39.38,46.83,50.95,85.35,22.78,24.36,21.02,14.1
48.09,37.47,24.5,23.7,30.77,21.5,48.6,25.85,43.35,57.92,25.38,7.78,41.27,43.95,31.72,23.92,28.05,40.25,48.55,51.58,77.62,27.05,23.49,22.7,14.48
47.5,38.65,24.35,22.93,29.0,22.5,47.85,25.22,41.42,49.27,26.12,7.5,40.2,47.95,46.08,25.15,24.9,40.47,47.27,51.4,74.43,26.65,21.87,24.57,13.95
47.45,44.35,24.67,25.4,27.47,21.3,44.95,25.6,39.77,45.45,25.73,7.43,37.9,44.12,44.88,28.8,21.45,40.17,47.48,50.88,69.28,27.52,22.5,25.5,13.5
47.71,47.6,26.4,25.12,26.25,20.35,42.3,24.1,39.3,40.47,25.12,6.7,37.0,34.4,42.95,29.62,17.35,39.3,50.9,50.45,65.7,26.73,21.91,27.02,13.68
47.8,47.05,26.9,27.6,25.0,20.1,41.77,23.27,38.48,34.92,24.4,7.2,37.1,28.95,39.93,26.88,18.27,40.0,52.0,49.23,60.53,26.43,20.89,26.38,13.3
46.46,40.17,26.73,25.25,25.57,24.198125,41.0,22.1,36.33,32.38,23.95,6.9,39.55,26.98,30.57,28.02,16.1,39.53,48.42,48.5,61.78,26.65,19.76,23.03,13.0
45.59,40.52,25.7,32.75,25.82,25.355,40.92,22.35,38.17,27.75,24.05,7.27,38.95,27.77,29.4,27.0,16.1,38.45,45.42,48.17,60.75,23.32,18.0,19.12,13.35
44.57,41.75,26.1,33.47,24.9,27.950625,40.5,22.88,40.15,24.9,24.05,8.1,38.65,29.45,31.17,24.25,15.83,39.62,44.25,49.65,55.6,12.62,15.75,18.18,13.5
43.49,37.77,25.65,36.17,23.6,30.508125,39.58,23.3,41.83,24.62,25.5,7.93,34.62,40.6,31.8,23.42,15.18,38.45,48.88,49.52,52.9,6.65,15.29,15.88,18.8
43.12,34.27,25.2,40.48,22.22,28.19875,41.15,21.85,40.9,27.57,26.08,7.65,34.88,49.33,38.67,23.93,13.28,39.85,50.88,46.52,51.48,29.42,16.19,18.07,13.15
42.84,35.6,25.77,28.95,21.25,26.165625,40.8,22.98,40.3,34.17,25.65,7.1,34.08,46.53,31.95,25.9,12.12,37.92,51.05,48.12,51.65,28.9,16.12,20.93,13.55
42.59,38.07,27.7,27.65,23.02,27.124375,45.3,23.57,37.45,39.08,29.43,7.72,39.48,36.62,31.0,30.38,13.93,36.9,64.8,52.42,52.85,27.95,16.01,23.3,14.72
42.17,40.1,33.25,42.98,23.6,28.168749999999996,47.4,30.55,41.5,38.3,33.75,7.0,39.8,39.35,29.92,30.0,,36.6,59.8,51.5,49.7,30.35,15.55,33.0,15.9
41.28,37.4,31.0,37.78,20.07,25.776875,42.15,27.7,44.4,32.85,28.08,6.43,34.72,32.08,23.4,28.33,22.83,33.0,45.43,42.0,47.15,28.35,14.57,24.33,15.15
41.48,37.23,27.38,28.12,20.82,21.8,42.15,25.15,41.8,28.0,24.12,6.93,35.2,31.85,26.32,26.6,21.2,35.0,43.03,42.23,54.4,20.8,9.58,19.85,14.43
42.26,34.2,26.6,27.05,23.93,24.807499999999997,46.52,22.15,45.02,22.52,25.05,7.45,38.45,35.23,29.32,25.1,19.05,37.5,40.2,42.98,53.72,14.22,14.07,17.85,14.68
42.5,36.5,25.8,25.98,26.52,25.452666666666666,47.08,24.35,37.42,22.38,29.38,7.7,40.77,34.3,28.88,24.73,18.73,39.3,41.85,45.17,52.28333333333333,23.05,16.6,17.12,15.15
41.84,34.53,26.45,25.18,23.9,25.487333333333332,46.2,24.25,33.62,21.55,31.43,7.93,43.32,40.85,34.52,23.1,18.05,38.3,43.95,45.9,55.73,29.8,18.05,17.02,16.33
44.1,32.83,26.75,28.88,25.45,24.272,42.85,24.57,31.55,22.52,29.38,7.6,45.2,43.7,40.12,23.0,18.5,36.3,43.28,46.0,63.12,35.98,16.8,21.82,15.35
42.73,35.45,26.93,30.02,28.72,22.916666666666668,41.73,23.77,29.07,34.35,29.6,7.15,48.48,36.35,36.12,26.58,18.67,35.75,45.8,48.58,67.2,34.38,17.77,27.27,14.08
42.67,36.5,27.52,32.53,34.73,22.589999999999996,42.83,23.38,26.85,25.77,29.67,6.82,52.42,30.43,30.4,27.68,19.02,35.67,47.2,47.75,66.08,30.95,18.38,25.73,14.0
39.3,32.55,26.88,27.25,36.15,24.092,44.77,23.4,25.77,31.2,25.3,7.12,50.67,27.88,29.4,26.52,21.82,37.05,46.28,50.5,69.38,29.4,19.59,24.33,13.68
49.57,35.05,26.57,27.73,35.1,22.902500000000003,47.67,23.68,26.5,27.9,28.57,7.47,50.8,28.15,32.4,23.68,26.7,39.88,42.8,52.52,70.9,27.3,19.41,20.88,16.5
52.55,35.55,26.3,24.32,35.65,22.271764705882354,50.8,22.9,29.68,20.65,29.05,8.3,48.98,29.38,34.58,21.9,23.95,37.7,45.7,51.23,71.8,26.4,19.24,22.18,21.32
30.87,35.4,25.58,23.8,34.88,23.024117647058823,50.1,23.95,31.95,16.4,29.9,8.32,46.83,42.22,50.5,21.98,22.73,38.85,46.32,52.28,72.58,25.0,19.3,23.4,24.27
43.69,34.28,24.95,23.1,43.9,22.599999999999998,47.7,24.08,35.7,33.55,28.28,8.38,45.48,44.75,51.72,25.05,19.73,40.38,47.17,54.45,72.95,29.78,18.44,25.6,25.9
43.79,40.12,25.85,24.75,38.6,22.03529411764706,46.3,23.55,33.98,90.67,27.02,7.7,44.8,41.95,49.35,27.93,16.0,39.48,47.6,56.55,68.28,31.4,18.47,25.55,20.6
47.56,44.58,25.62,22.0,24.43,21.39888888888889,41.92,23.23,33.53,66.95,26.12,6.53,43.98,33.72,46.9,26.48,12.68,39.1,47.75,56.38,61.73,28.25,16.52,27.08,13.38
48.0,44.75,26.32,23.88,24.18,22.927647058823524,40.45,23.18,31.25,51.07,25.95,6.4,41.02,30.4,45.6,26.45,15.5,39.67,50.32,52.67,62.58,29.7,13.91,26.02,13.72
47.84,36.3,27.12,27.35,24.1,24.315333333333335,38.53,23.3,31.9,35.03,25.48,6.38,40.12,27.0,46.55,24.77,28.12,39.62,50.55,49.62,60.23,27.85,13.02,25.0,17.12
47.28,36.7,25.8,28.05,28.08,24.669375,37.48,23.9,33.35,31.57,24.23,7.1,40.8,27.02,40.72,24.27,24.23,40.15,51.0,48.6,61.93,25.8,15.4,17.73,23.73
44.7,33.33,25.5,28.38,28.5,27.006875,38.12,23.88,34.33,33.98,23.43,7.22,39.23,31.3,39.28,22.2,21.7,39.55,47.95,49.43,52.2,25.57,17.29,18.75,27.88
44.12,34.85,25.42,28.6,27.15,26.488124999999997,39.0,23.6,35.27,39.95,22.88,7.6,37.83,41.9,36.75,20.62,19.8,39.42,50.67,49.55,49.88,23.38,17.71,19.55,28.88
42.3,31.28,25.2,26.18,25.5,25.019375,39.58,23.23,36.73,41.1,23.23,7.53,37.08,50.97,37.52,22.45,16.45,39.38,57.78,49.85,53.15,22.77,17.57,17.82,29.07
41.39,31.05,25.85,28.15,16.68,26.121249999999996,39.6,23.7,39.45,45.4,23.68,6.65,37.08,50.1,34.3,26.6,15.9,38.55,51.72,48.6,50.4,20.98,17.26,21.38,29.72
39.75,33.1,27.12,25.45,22.23,28.485625000000002,43.92,23.25,40.7,47.92,26.18,7.3,45.0,38.22,34.25,28.78,16.25,37.7,62.9,52.5,52.28,21.32,17.4,25.1,33.95
38.98,34.9,32.55,24.82,18.4,28.156250000000004,50.7,29.8,45.27,49.35,41.4,5.65,35.58,40.2,31.68,27.15,,38.1,59.75,49.7,45.8,27.1,16.53,30.7,29.1
38.83,33.42,30.7,29.05,17.12,26.700666666666667,44.33,26.8,45.32,41.17,31.08,5.8,38.07,32.2,28.45,27.65,17.43,34.35,43.75,49.4,45.2,26.35,16.67,25.47,27.2
36.88,32.85,27.3,28.12,22.05,27.78529411764706,44.4,24.62,43.17,30.3,25.55,6.75,39.25,30.1,27.73,25.45,17.88,36.6,41.08,47.23,48.03,24.68,16.9,20.45,27.5
36.84,32.22,25.77,31.12,25.65,27.63733333333333,47.07,23.12,41.65,26.93,30.18,6.95,41.17,33.42,29.38,22.88,15.98,39.33,42.52,49.1,52.27,25.92,15.69,19.15,27.62
36.64,30.9,25.07,42.9,23.9,29.176,47.02,22.38,37.3,25.9,33.9,6.95,42.1,37.58,31.77,22.38,16.43,38.55,46.4,45.72,61.67,33.0,13.199444444444445,18.1,27.95
37.05,32.2,26.25,31.9,26.15,28.314285714285713,45.65,26.88,38.33,36.9,29.3,7.08,43.28,44.17,35.6,22.15,16.02,41.52,45.6,43.73,73.17,30.43,9.26,19.38,30.38
34.69,33.02,25.6,32.28,19.52,26.075714285714287,42.4,24.95,34.27,42.07,27.9,7.22,44.05,41.77,34.68,22.7,17.35,38.23,44.43,44.72,75.55,31.12,13.31,23.68,27.02
39.13,31.0,25.0,29.3,18.25,24.434000000000005,41.0,23.4,31.88,36.88,28.23,6.75,45.3,32.72,31.85,25.88,13.55,34.9,44.62,43.35,72.55,28.23,15.51,27.08,26.78
55.699444444444445,31.13,27.4,27.85,20.65,20.7,43.95,24.02,28.88,29.55,30.1,6.78,45.27,29.52,31.15,26.75,13.38,38.55,45.45,42.38,81.58,26.27,16.72,26.27,27.3
53.542352941176475,29.85,26.77,29.12,23.22,20.98,47.45,23.92,25.35,43.62,30.88,6.5,45.0,26.62,30.62,24.35,24.5,39.55,46.05,45.12,93.33,25.88,17.73,25.12,27.55
54.20777777777778,31.57,24.85,26.35,29.92,20.38,47.5,23.55,27.38,90.45,31.0,7.03,43.08,26.15,32.5,23.18,36.92,38.77,45.33,45.6,93.6,28.32,19.23,23.7,27.17
54.85333333333333,32.92,22.15,25.65,32.6,19.4,47.3,23.55,32.62,80.22,31.48,7.45,42.15,31.62,33.85,21.55,33.6,37.98,42.0,44.55,90.93,27.3,20.02,26.1,26.8
50.978333333333325,33.02,21.55,23.68,32.38,20.78,46.28,23.65,37.33,72.4,29.02,7.67,40.57,41.55,34.68,21.55,24.4,37.83,40.33,45.53,87.95,27.98,18.89,29.45,25.08
51.416666666666664,31.8,21.75,25.98,30.1,23.38,45.27,23.73,36.8,50.8,26.45,7.6,39.45,44.75,33.42,21.6,19.98,37.28,41.53,44.27,78.17,23.88,18.66,28.52,23.25
51.93833333333333,36.02,21.4,25.77,23.1,24.0,43.7,23.83,34.77,49.45,26.4,7.22,36.85,41.45,31.45,24.18,15.5,36.55,41.53,45.53,72.65,23.9,16.95,25.45,23.48
51.03944444444445,39.12,22.18,25.82,20.9,22.57,41.2,23.43,33.52,43.88,25.58,6.3,36.93,35.03,30.27,24.75,12.45,37.48,41.7,46.33,67.22,19.07,15.93,27.2,23.6
81.55,40.45,23.6,28.68,20.27,21.48,39.98,22.78,32.95,36.0,24.8,6.7,33.3,28.6,29.27,24.32,14.43,42.48,40.62,44.95,64.88,25.88,14.6,24.85,23.45
75.74,36.48,24.08,30.35,18.75,20.7,38.83,23.38,32.8,30.35,24.15,6.98,33.05,26.23,28.3,24.12,18.18,43.9,40.18,45.27,61.83,22.62,12.05,23.15,24.02
69.33,40.3,23.82,36.05,21.48,21.02,39.33,23.38,32.72,29.42,23.38,7.18,34.42,27.7,30.23,24.0,19.0,42.27,42.98,46.45,64.38,26.57,10.08,19.62,24.8
63.45,36.0,23.17,33.85,24.15,21.0,39.85,23.07,31.0,27.82,23.68,7.88,34.0,30.55,29.22,22.3,16.75,38.73,44.1,46.0,63.07,28.2,12.0,19.4,22.95
61.33,36.8,22.73,34.67,24.77,21.07,39.85,22.77,31.5,22.82,22.88,7.68,32.98,37.4,31.58,21.65,16.62,37.48,44.0,45.5,56.58,22.75,15.69,19.85,24.7
61.68,32.7,22.7,36.45,23.5,22.5,39.1,22.32,30.45,20.3,22.2,7.53,33.17,46.9,34.03,20.68,15.15,37.6,45.4,44.42,58.12,15.65,15.49,19.08,27.05
61.32,34.65,22.83,34.45,18.12,22.12,39.05,22.0,35.2,26.35,21.88,7.12,33.1,48.43,31.73,23.65,13.8,38.4,42.27,44.67,55.03,19.38,15.4,18.75,27.38
59.25,36.25,24.05,33.1,19.38,22.8,41.12,23.6,36.75,34.4,24.25,7.35,36.23,37.8,31.35,28.35,14.75,36.45,49.38,50.92,56.58,24.12,15.88,20.57,31.88
58.45,38.3,29.1,34.15,19.6,24.3,47.6,28.4,29.85,36.8,34.25,5.95,32.33,35.55,29.48,28.55,,35.0,53.35,48.3,52.8,24.95,14.88,29.2,27.3
56.21,40.0,27.35,29.07,20.58,20.18,43.0,27.55,39.83,29.82,27.52,6.22,33.42,30.9,27.48,27.23,20.8,31.75,40.68,40.9,52.85,23.1,6.39,24.4,26.4
55.83,41.1,25.12,29.77,21.62,23.73,39.78,24.85,42.35,25.25,23.65,6.88,34.9,28.2,27.3,24.75,19.42,37.58,35.48,43.3,60.83,25.6,11.12,22.43,25.28
57.5,39.67,24.62,34.05,23.55,21.45,46.98,23.2,38.88,23.48,22.95,7.2,38.15,32.08,28.7,23.27,16.27,36.88,38.15,43.72,60.17,28.35,10.22,20.18,25.9
66.62,38.98,24.73,32.75,25.95,22.45,44.42,23.2,36.1,25.27,26.55,7.6,40.62,34.7,33.08,23.83,17.6,39.18,41.08,43.7,64.3,33.67,8.4,19.35,26.28
77.52,38.25,25.75,32.58,25.4,23.92,43.4,25.08,35.48,17.95,29.05,7.78,42.5,40.23,36.52,22.5,18.98,40.15,41.08,48.58,67.1,38.65,7.43,19.97,28.65
81.67,36.92,25.2,32.45,22.12,25.18,42.55,27.33,33.0,14.35,29.77,8.18,46.35,42.5,35.45,24.77,19.57,38.42,38.85,48.78,67.35,27.88,8.92,20.9,25.08
83.76,34.97,24.32,32.2,21.25,22.88,41.28,25.88,30.43,21.27,28.93,7.25,45.95,33.83,34.28,26.05,17.73,37.7,37.55,44.55,69.82,27.58,16.17,23.95,24.85
84.45,38.4,24.0,31.32,23.35,23.15,42.15,24.77,28.97,27.32,28.55,6.93,45.03,29.35,32.9,25.0,16.98,39.27,37.28,44.72,69.1,23.55,21.59,26.4,24.93
88.48,36.17,25.07,33.48,25.73,23.5,43.2,24.8,25.2,27.07,28.75,6.85,45.35,26.27,37.7,24.08,20.85,39.75,37.83,46.17,70.35,26.97875,22.78,25.1,25.1
90.81,35.35,25.08,52.58,30.0,23.57,44.33,24.22,23.57,16.23,27.8,8.65,44.88,24.72,40.67,21.3,24.65,39.95,39.5,45.8,72.4,27.2,21.64,22.62,24.85
79.81,34.8,22.2,44.38,30.6,23.55,45.38,24.35,23.58,24.1,28.25,10.62,42.52,35.15,34.43,20.65,25.38,39.92,41.17,43.62,73.88,25.3,20.91,22.25,24.52
68.13,35.6,21.97,26.9,28.75,24.48,43.48,24.52,25.73,102.45,26.85,7.85,40.88,45.33,34.95,21.22,26.35,38.2,72.38,47.28,69.62,23.52,19.85,24.38,24.77
65.28,38.52,22.18,26.25,27.82,24.55,41.47,24.48,25.05,99.65,26.65,7.28,39.73,38.62,31.23,21.5,25.35,36.88,44.75,48.8,65.6,19.38,19.43,25.65,22.78
65.31,44.47,21.68,27.0,21.48,24.35,39.15,24.9,26.3,90.1,25.7,6.83,37.17,36.15,27.25,25.55,21.73,36.42,36.93,50.83,62.8,25.0,19.31,24.25,22.43
66.44,43.15,22.32,29.05,20.05,24.6,37.58,24.4,28.07,54.15,24.23,6.4,34.8,31.33,26.77,25.77,19.32,37.4,29.75,50.55,62.25,24.45,18.65,23.0,21.85
